cve,descrip
"409","Bosnia y Herzegovina"
"410","República de Bulgaria"
"411","República de Croacia"
"412","Reino de Dinamarca"
"413","República Eslovaca"
"414","República de Eslovenia"
"415","Reino de España"
"416","República de Estonia"
"417","Islas Feroe"
"418","República de Finlandia"
"419","República Francesa"
"420","Gibraltar"
"421","República Helénica"
"422","Hungría"
"423","República de Irlanda"
"424","República de Islandia"
"425","República Italiana"
"426","República de Letonia"
"427","Principado de Liechtenstein"
"428","República de Lituania"
"429","Gran Ducado de Luxemburgo"
"430","Antigua República Yugoslava de Macedonia"
"431","República de Malta"
"433","República de Moldavia"
"434","Principado de Mónaco"
"435","Reino de Noruega"
"436","Reino de los Países Bajos"
"437","República de Polonia"
"438","República Portuguesa"
"439","Reino Unido de Gran Bretaña e Irlanda del Norte"
"440","República Checa"
"441","Rumania"
"442","Federación de Rusia"
"443","República de San Marino"
"444","Estado de la Ciudad del Vaticano"
"445","Reino de Suecia"
"446","Confederación Suiza"
"447","Ucrania"
"452","República de Serbia"
"453","República de Montenegro"
"501","Mancomunidad de Australia"
"503","Islas Cook"
"505","Guam"
"507","República de Kiribati"
"512","Mancomunidad de las Islas Marianas del Norte"
"513","República de las Islas Marshall"
"514","Estados Federados de Micronesia"
"516","República de Nauru"
"517","Niue"
"520","Nueva Zelandia"
"522","Isla Wake"
"523","Estado Independiente de Papúa Nueva Guinea"
"524","Islas Pitcairn, Henderson, Ducie y Oeno"
"526","Islas Salomón"
"527","Estado Independiente de Samoa"
"528","Samoa Americana"
"530","Tokelau"
"531","Reino de Tonga"
"532","Tuvalu"
"533","República de Vanuatu"
"535","República de Fiji"
"888","No aplica"
"997","Extranjero sin especificación de país"
"998","Mexicana (no especificado de Entidad Federativa)"
"999","No especificado"
